attraction_id,attraction_name,open_time,close_time,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords
364,Montazah Aida Beach,06:00 AM, 12:00 AM,4.4,406,island,,31.29205,30.02116,alexandria,island
365,El Attarine mosque,06:00 AM, 12:00 AM,4.3,557,History,,31.24201,29.96137,alexandria,History
366,An+niades Palace,06:00 AM, 12:00 AM,4.5,190,Beach,,30.83516,29.23321,alexandria,Beach
367,Tolip Beach,06:00 AM, 12:00 AM,4.6,143,Mosque,Religious Sites,31.19521,29.89899,alexandria,Mosque Religious Sites
368,Sky Yacht Club,06:00 AM, 12:00 AM,4.1,395,Palace,History,31.20228,29.95073,alexandria,Palace History
369,kouta park,06:00 AM, 12:00 AM,4,1866,Beach,,31.24317,29.9615,alexandria,Beach
370,Stanli Beach,06:00 AM, 12:00 AM,4.2,471,Beach,,31.28979,30.0247,alexandria,Beach
371,Ras Soda Temple,06:00 AM, 12:00 AM,4,5907,Park,,31.28468,30.03403,alexandria,Park
372,Mustafa Kamel Hellenistic Necropolis,06:00 AM, 12:00 AM,4.3,511,Beach,,31.23389,29.94583,alexandria,Beach
373,Glime Beach,06:00 AM, 12:00 AM,4.1,126,Temple,,31.20324,29.91876,alexandria,Temple
374,Arabic Calligraphy Museum,06:00 AM, 12:00 AM,4.2,53,History,,31.23074,29.9476,alexandria,History
375,Cleopatra Beach,06:00 AM, 12:00 AM,3.7,906,Beach,,31.24112,29.95946,alexandria,Beach
376,Eliahu Hanavi Synagogue,06:00 AM, 12:00 AM,4.2,36,Museum,,31.19509,29.9131,alexandria,Museum
377,San Stifanu Beach,06:00 AM, 12:00 AM,4,37,Beach,,36.55333,31.97284,alexandria,Beach
378,Sh??i' al Anf?sh?,06:00 AM, 12:00 AM,3.9,148,Synagogue,"judaism, history and architecture Religious Sites",31.19921,29.90037,alexandria,"Synagogue judaism, history and architecture Religious Sites"
379,Magic Planet City Centre Alexandria,06:00 AM, 12:00 AM,4.3,30,Beach,,31.24806,29.96528,alexandria,Beach
380,Keluobatra Beath,06:00 AM, 12:00 AM,4.3,116,Beach,,31.20885,29.88262,alexandria,Beach
381,El Montazah Beach,06:00 AM, 12:00 AM,4.4,183,Park,Amusment Park theme,31.16591,29.93252,alexandria,Park Amusment Park theme
382,An+niades Garden's,06:00 AM, 12:00 AM,4.4,128,Beach,,36.55333,31.97284,alexandria,Beach
383,San Dtephano Beach,06:00 AM, 12:00 AM,4.3,130,Beach,,31.28234,30.0116,alexandria,Beach
384,Al Ibrahimiyyah Beach,06:00 AM, 12:00 AM,3.9,2041,Garden,Green space with palms & sculptures,31.20568,29.947,alexandria,Garden Green space with palms & sculptures
385,Stanley Beach,06:00 AM, 12:00 AM,4.4,35,Beach,,31.24416,29.96297,alexandria,Beach
386,Taverna Aqua City,06:00 AM, 12:00 AM,4.3,19,Beach,,31.21722,29.92417,alexandria,Beach
387,National Maritime Museum,06:00 AM, 12:00 AM,4.2,38,Beach,,31.23399,29.94585,alexandria,Beach
388,El Nozha Park,06:00 AM, 12:00 AM,3.9,14,Park,Garden,31.2448,30.00169,alexandria,Park Garden
389,Teachers' Club Beach,06:00 AM, 12:00 AM,3.8,77,Museum,Marine,31.23646,29.95113,alexandria,Museum Marine
390,Al Shalalat Park,06:00 AM, 12:00 AM,3.8,199,Park,Garden,31.20304,29.94382,alexandria,Park Garden
391,El Alamein War Cemetery British,06:00 AM, 12:00 AM,3.6,70,Beach,,31.23133,29.94358,alexandria,Beach
392,Beach Hotel Rose Asafra,06:00 AM, 12:00 AM,3.8,4503,Park,Palm-lined footpaths & city wall ruins,31.20269,29.91454,alexandria,Park Palm-lined footpaths & city wall ruins
393,International park Alexandria,06:00 AM, 12:00 AM,4.5,68,Military cemetery,,30.83721,28.94672,alexandria,Military cemetery
394,Nelson's Island,06:00 AM, 12:00 AM,3.8,2969,Beach,"Swimming, seafront cafes & sunset views public",31.27545,30.00198,alexandria,"Beach Swimming, seafront cafes & sunset views public"
395,Honey Moon Beach,06:00 AM, 12:00 AM,3.7,720,Park,Garden,31.17848,29.93029,alexandria,Park Garden
396,Elbeytash Beach,06:00 AM, 12:00 AM,4.3,95,island,,31.35783,30.10588,alexandria,island
397,Abu Qir Bay,06:00 AM, 12:00 AM,4.3,247,Beach,,31.13698,29.7816,alexandria,Beach
398,Alexandria Zoo,06:00 AM, 12:00 AM,4,128,Beach,,31.13241,29.77865,alexandria,Beach
399,Hurghada Grand Aquarium:, 9:00 AM , 5:00 PM,4.6,26,Bay,"Ancient history, ruins, archaeological excavation and ancient egypt",31.3,30.16667,alexandria,"Bay Ancient history, ruins, archaeological excavation and ancient egypt"
400,Mini Egypt Park,06:00 AM, 12:00 AM,3.6,11603,Zoo,"Lions, reptiles & a variety of birds",31.20485,29.94356,alexandria,"Zoo Lions, reptiles & a variety of birds"
401,Sand City Hurghada,09:00 AM, 6:00 PM,4.3,"7,948",Tourist attraction,,27.1344,33.82188,hurghada,Tourist attraction
402,ALmamsha park,06:00 AM, 12:00 AM,4.4,990,Tourist attraction,Speciality Museums Points of Interest & Landmarks,26.98762,33.85627,hurghada,Tourist attraction Speciality Museums Points of Interest & Landmarks
403,Hurghada Marine Museum & Aquarium,06:00 AM, 12:00 AM,4.3,"2,069",Tourist attraction,,27.09959,33.82309,hurghada,Tourist attraction
404,"Sliders Cable Park El Gouna, Egypt",06:00 AM, 12:00 AM,4.3,"2,486",Tourist attraction,,27.19021,33.83248,hurghada,Tourist attraction
405,Monument + the martyrs of the Battle of Shidwan Island,07:00 AM, 12:00 AM,4.3,155,Tourist attraction,,27.28363,33.77222,hurghada,Tourist attraction
406,Makadi Water World,06:00 AM, 12:00 AM,4.5,779,Tourist attraction,water park,27.37727,33.66082,hurghada,Tourist attraction water park
407,Hurghada Museum:, 9:00 AM , 3:00 PM,4.4,163,Park,memorial park,27.50523,33.98209,hurghada,Park memorial park
408,Senzo Mall: ,10:00 AM, 12:00 AM,4.6,36,Park,water park,26.9825,33.87289,hurghada,Park water park
409,Steg Pharao Azur Resort,06:00 AM, 12:00 AM,4.4,678,Museum,,27.16055,33.82146,hurghada,Museum
410,ponorka Sindbad,06:00 AM, 12:00 AM,4.4,"19,324",Shopping mall,Shopping mall,27.09554,33.82191,hurghada,Shopping mall Shopping mall
411,Forest Tree,06:00 AM, 12:00 AM,4.2,23,Tourist attraction,,27.08721,33.84795,hurghada,Tourist attraction
412,Sindbad Aqua Park,06:00 AM, 12:00 AM,4.4,47,Tourist attraction,,27.17321,33.85306,hurghada,Tourist attraction
413,Paradise Beach,06:00 AM, 12:00 AM,4,33,National forest,,27.30771,33.71985,hurghada,National forest
414,Orange Bay,06:00 AM, 12:00 AM,4.5,31,Park,water,27.19021,33.83248,hurghada,Park water
415,Submarine adventures Hurghada:, 7:00 AM , 6:00 PM,4.5,"5,909",Tourist attraction,Beaches,27.18144,33.95392,hurghada,Tourist attraction Beaches
416,Sherry.St,06:00 AM, 12:00 AM,4.4,"7,488",Tourist attraction,Parasailing & Paragliding Safaris Adrenaline & Extreme Tours Swim with Dolphins Boat Tours Waterskiing & Jetskiing Fishing Charters & Tours Speed Boats Tours Day Trips,27.20837,33.92651,hurghada,Tourist attraction Parasailing & Paragliding Safaris Adrenaline & Extreme Tours Swim with Dolphins Boat Tours Waterskiing & Jetskiing Fishing Charters & Tours Speed Boats Tours Day Trips
417,Sindbad Submarines,06:00 AM, 12:00 AM,4.5,"11,127",Boat tour agency,,27.22391,33.84094,hurghada,Boat tour agency
418,Davinci Beach: , 9:00 AM , 5:00 PM,4.3,"2,598",Park,,27.22024,33.83601,hurghada,Park
419,Ramashka Tours Hurghada Bus Tours Boat Trips: , 9:00 AM , 5:00 PM,4.5,786,Boat tour agency,Submarine Tours,27.18702,33.83493,hurghada,Boat tour agency Submarine Tours
420,Funnydivers Diving Center Hurghada Egypt: , 9:00 AM , 5:00 PM,4.6,14,Recreation center,,27.2579,33.81161,hurghada,Recreation center
421,Dive UK Hurghada: , 9:00 AM , 5:00 PM,4.7,126,Sightseeing tour agency,Scuba & Snorkelling Swim with Dolphins Boat Tours Sightseeing Tours Private Tours,27.22617,33.83806,hurghada,Sightseeing tour agency Scuba & Snorkelling Swim with Dolphins Boat Tours Sightseeing Tours Private Tours
422,Bullet Speedboats: , 9:00 AM , 5:00 PM,5,30,Hiking area,"Scuba & Snorkelling Submarine Tours Historical & Heritage Tours Boat Tours Private Tours Bus Tours 4WD, ATV & Off-Road Tours Safaris Taxis & Shuttles Walking Tours Fishing Charters & Tours Gear Rentals Dolphin & Whale Watching Day Trips",27.2579,33.81161,hurghada,"Hiking area Scuba & Snorkelling Submarine Tours Historical & Heritage Tours Boat Tours Private Tours Bus Tours 4WD, ATV & Off-Road Tours Safaris Taxis & Shuttles Walking Tours Fishing Charters & Tours Gear Rentals Dolphin & Whale Watching Day Trips"
423,Desert Safari Hurghada: , 9:00 AM , 5:00 PM,5,"1,687",SCUBA tour agency,Scuba & Snorkelling,27.25884,33.81948,hurghada,SCUBA tour agency Scuba & Snorkelling
424,Crazy Dolphin Diving Center: , 9:00 AM , 5:00 PM,5,153,Diving center,Sports Camps & Clinics Scuba & Snorkelling Adrenaline & Extreme Tours Taxis & Shuttles Boat Tours Private Tours Dolphin & Whale Watching Day Trips,27.22619,33.84105,hurghada,Diving center Sports Camps & Clinics Scuba & Snorkelling Adrenaline & Extreme Tours Taxis & Shuttles Boat Tours Private Tours Dolphin & Whale Watching Day Trips
425,ALFayrouz beach: ,06:00 AM, 12:00 AM,5,64,Boat rental service,Scuba & Snorkelling Swim with Dolphins Boat Tours Private Tours Dolphin & Whale Watching Speed Boats Tours Day Trips,27.22446,33.84114,hurghada,Boat rental service Scuba & Snorkelling Swim with Dolphins Boat Tours Private Tours Dolphin & Whale Watching Speed Boats Tours Day Trips
426,Akhenaten Egypt Gallery: , 10:00 AM , 10:00 PM,4.3,164,Sightseeing tour agency,,27.13288,33.78073,hurghada,Sightseeing tour agency
427,Dive Hurghada: , 9:00 AM , 5:00 PM,4.7,139,SCUBA instructor,Scuba & Snorkelling Boat Tours,27.24776,33.84759,hurghada,SCUBA instructor Scuba & Snorkelling Boat Tours
428,Mahmya Island: , 9:00 AM , 5:00 PM,3.8,180,Beach,public,27.21799,33.84178,hurghada,Beach public
429,"Cleopatra Bazar Shera+n road, Hurghada: ", 9:00 AM , 10:00 PM,2.5,30,Art Gallery,Art Galleries,27.18854,33.82209,hurghada,Art Gallery Art Galleries
430,Egypt Divers: , 9:00 AM , 5:00 PM,4.8,330,SCUBA instructor,Scuba & Snorkelling Shark Diving Safaris Boat Tours Water Sports,27.198,33.8429,hurghada,SCUBA instructor Scuba & Snorkelling Shark Diving Safaris Boat Tours Water Sports
,,,,,,,,,,,
